Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Actual YTD Jun 23 vs Budget YTD Jun 23,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,Particulars,,,Annapurna,,,,,,,,,,Total,,,,,,Particulars,Captain Cook,,,
,,,,Atta,,,,,Salt,,,,,,,,,,,,Salt,,,
,INR Cr,,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget2",Difference,%,,,INR Cr,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%
,Distribution expenses,,,2.4558040801756325,3.3777615851286202,-0.9219575049529878,-0.2729492540302785,,6.946229674447834,9.146194898781472,-2.1999652243336376,-0.24053338559696932,,9.402033754623467,12.523956483910093,-3.1219227292866254,-0.24927607607847044,,,Distribution expenses,1.7621892202911318,1.4756417102883714,0.28654751000276035,0.19418501659644938
,Total,,,2.4558040801756325,3.3777615851286202,-0.9219575049529878,-0.2729492540302785,,6.946229674447834,9.146194898781472,-2.1999652243336376,-0.24053338559696932,,9.402033754623467,12.523956483910093,-3.1219227292866254,-0.24927607607847044,,,Total,1.7621892202911318,1.4756417102883714,0.28654751000276035,0.19418501659644938
,% of Net Revenue,,,0.13867200537263022,0.13372275029043554,,,,0.3597805456271215,0.35117852639262825,,,,0.25399715484334223,0.24411396969015856,,,,,% of Net Revenue,0.35940116813483636,0.33420000000000005,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Contribution Margin,,,1.7273604194105832,2.477068815592116,-0.749708396181533,-0.3026594947473526,,1.3231293578667982,0.9994623313321025,0.3236670265346957,0.3238411457721534,,3.050489777277381,3.4765311469242217,-0.4260413696468408,-0.12254783623146043,,,Contribution Margin,0.9058930103359519,0.8677152237506223,0.038177786585329665,0.04399806012427621
,% of Net Revenue,,,0.09753894266021505,0.09806507840518185,,,,0.0685315955013279,0.038375489762295587,,,,0.08240937487872116,0.06776371509414485,,,,,% of Net Revenue,0.18475825545348387,0.19651818307628874,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17273604.19410583,24770688.15592116,,,,13231293.578667982,9994623.313321024,,,,,,,,,,,9058930.103359519,8677152.237506222,,
,,,,17273604.19410583,24770688.15592116,,,,13231293.578667983,9994623.313321024,,,,,,,,,,,9058930.103359513,8677152.237506228,,
,,,,0,0,,,,0,0,,,,,,,,,,,0,0,,
